DMmass,Operator 1,Operator 3,Operator 7,Operator 10
5,1.2369099570466122e+37,2.786798922049372e+28,6.95334233209565e+29,2.6332403446843967e+30
10,1.2931882014647947e+37,4.141418141659983e+29,3.491653839350159e+29,2.155443547276657e+30
20,1.076523951864584e+37,2.736262651386722e+30,1.4228401098188508e+29,1.816911140628489e+30
35,7.578655454878462e+36,5.190280432396167e+30,5.988192155911018e+28,1.5641811125114208e+30
50,5.601943855797733e+36,5.193566653586979e+30,3.2830410055804902e+28,1.3651539279603793e+30
100,2.7333773559882343e+36,3.297488229874508e+30,9.551496154276404e+27,9.224658955807276e+29
250,8.39110697658034e+35,1.323944000055697e+30,1.7420197316727984e+27,4.135437255935704e+29
300,6.429640220391423e+35,1.0641088563501806e+30,1.2336783058729504e+27,3.365428451471208e+29
500,2.883565266186282e+35,5.393666274154151e+29,4.640740136731967e+26,1.7180812231500677e+29
800,1.2905898065589516e+35,2.652529134872312e+29,1.863177426400136e+26,8.269674081837972e+28
1000,8.653336350425026e+34,1.845475283363009e+29,1.203759662710895e+26,5.673375049259972e+28
3000,1.0870042731277106e+34,2.589158804259476e+28,1.3719037908571136e+25,7.526273995320402e+27
5000,4.006113347290647e+33,9.760247241067554e+27,4.96361230765661e+24,2.7997238564804166e+27
8000,1.5851909354883004e+33,3.9099198562995344e+27,1.944315642422204e+24,1.1133190577222312e+27
10000,1.018845847828833e+33,2.5230690650829484e+27,1.245510097842996e+24,7.16704594934309e+26
