DMmass,Operator 1,Operator 3,Operator 7,Operator 10
5,4.104313390177904e+35,7.590770648762407e+26,6.92901101913673e+29,2.463354920081483e+30
10,2.2520580776524143e+35,1.1625060045343374e+28,3.4623307702417564e+29,1.6437986491251158e+30
20,1.0305080814832156e+35,7.899594273959819e+28,1.3963478076963313e+29,8.55354727087297e+29
35,4.661697224126787e+34,1.5288945527522983e+29,5.788372858651428e+28,4.243347463440886e+29
50,2.6365731421910507e+34,1.5518731717257637e+29,3.1290183324023485e+28,2.5591438181789964e+29
100,7.934360641021326e+33,9.660722208604998e+28,8.755426743156175e+27,9.086700215234508e+28
250,1.4523091797795992e+33,3.621921587343016e+28,1.4941108730323276e+27,2.3618040558090224e+28
300,1.0262361042099008e+33,2.893930842973361e+28,1.0448084469067308e+27,1.814566792219239e+28
500,3.838167813404888e+32,1.4628073750399672e+28,3.813441864221044e+26,8.543648749854621e+27
800,1.537680892387806e+32,7.323413437762155e+27,1.5011024165599015e+26,4.081906198171204e+27
1000,9.935825319875357e+31,5.172178052419718e+27,9.631559523616012e+25,2.816841503226872e+27
3000,1.1371311564557704e+31,7.890110460984736e+26,1.077429063744713e+25,3.864294346380392e+26
5000,4.12084407762284e+30,3.048432530162744e+26,3.8839548307827694e+24,1.449502741567206e+26
8000,1.6157681226222653e+30,1.2385179969438334e+26,1.5183129708811952e+24,5.790338091632201e+25
10000,1.0354009147215622e+30,8.0291710300074e+25,9.71963940607544e+23,3.733068315971836e+25
