DMmass,Operator 1,Operator 3,Operator 4,Operator 5,Operator 6,Operator 7,Operator 8,Operator 9,Operator 10,Operator 11,Operator 12,Operator 13,Operator 14,Operator 15
5,1.2369265375892106e+37,2.7868362784322205e+28,7.578219602686167e+34,6.854632457322205e+27,5.215737868172528e+25,6.95343554057116e+29,2.3339295253487336e+31,1.3121057990544517e+30,2.6332756428711006e+30,1.2167924598305084e+33,7.061365578192167e+30,4.647203260278021e+24,3.4710729800378104e+24,8.404453342612355e+24
10,1.2931882014647947e+37,4.141473656679909e+29,4.0478500949489703e+34,2.34785876355622e+28,2.5558481001702093e+26,3.4917006443307406e+29,2.5252911709176883e+31,1.0454205147948624e+30,2.155443547276657e+30,3.89214192688485e+33,3.154546922137269e+31,1.1182978281187645e+25,2.7681145311714e+24,4.0739827271001535e+26
20,1.0765383824685756e+37,2.736299330454587e+30,1.7861859702579246e+34,5.336723042743618e+28,8.943065742029075e+26,1.4228591822457512e+29,2.2518407501509805e+31,7.964187052514287e+29,1.8169354959362803e+30,7.771326778857525e+33,7.968230435592701e+31,3.162640053295733e+25,2.2135890358715728e+24,7.296562099055397e+27
35,7.578757045932428e+36,5.190350007051245e+30,7.929429691956069e+33,6.580680632036763e+28,1.5417538430518227e+27,5.988272426508884e+28,1.696385271527712e+31,5.983347855625244e+29,1.5642020801535608e+30,8.28627867383016e+33,9.123609134676096e+31,5.063708216944283e+25,1.7844045949449292e+24,2.4057568071193077e+28
50,5.602018949024365e+36,5.193636272262218e+30,4.4469878151469806e+33,6.210360070488886e+28,1.7894424920455302e+27,3.283085012340014e+28,1.2979734283871886e+31,4.761055078698948e+29,1.3651722274956556e+30,7.228528928685898e+33,7.713180546862357e+31,5.7099825001870646e+25,1.481115543740657e+24,2.9048337322150287e+28
100,2.7333773559882343e+36,3.2975324319966694e+30,1.3229930647922828e+33,4.221103592006726e+28,1.7006354896328712e+27,9.551624191930632e+27,6.599215409991917e+30,2.7520131618475302e+29,9.224658955807276e+29,4.519787281653183e+33,4.210319202309503e+31,5.279349671434656e+25,8.963111042231475e+23,2.13611414662686e+28
250,8.391219458427507e+35,1.323961747555086e+30,2.441756817975141e+32,1.722136382327634e+28,9.632838076283572e+26,1.7420430843709022e+27,2.075376296652916e+30,1.0659008150435847e+29,4.135492692281439e+29,1.786880825673572e+33,1.4443882968967614e+31,2.9705652105653504e+25,3.353751930376782e+23,1.0361861396025383e+28
300,6.429726407324099e+35,1.064123120779267e+30,1.73385131442819e+32,1.3743127652531406e+28,8.080684721856229e+26,1.2336948442105208e+27,1.5934225294047884e+30,8.489549170027756e+28,3.365473564854564e+29,1.4261511893090407e+33,1.1289795679031874e+31,2.4950437994225444e+25,2.628290913968253e+23,8.598680764732131e+27
500,2.883603919591453e+35,5.393738575140055e+29,6.577452678962285e+31,6.731488491453925e+27,4.395804037746195e+26,4.640802351118813e+26,7.160377825316049e+29,4.139026586237084e+28,1.718104254700924e+29,7.026317494232433e+32,5.332503489498535e+30,1.3690351048373451e+25,1.223566547304332e+23,4.731200112390664e+27
800,1.2906071063387456e+35,2.652564690711926e+29,2.6599720450510506e+31,3.1751001824206284e+27,2.1942858635824392e+26,1.863202404883071e+26,3.201850141620771e+29,1.9411095628633955e+28,8.269784938291493e+28,3.3395858127491235e+32,2.486240768403703e+30,6.91449087640158e+24,5.547327629303665e+22,2.487888154945876e+27
1000,8.653336350425026e+34,1.8455000211584263e+29,1.7234645991972076e+31,2.166454957967344e+27,1.523428072169432e+26,1.2037758007415596e+26,2.145216099784704e+29,1.3207003929047637e+28,5.673375049259972e+28,2.2862650839877917e+32,1.6942516592534204e+30,4.826734417462341e+24,3.72890546240359e+22,1.7794460312544965e+27
3000,1.0870188446171009e+34,2.5891935111069086e+28,1.9806619398145795e+30,2.8454464182811097e+26,2.082063327441939e+25,1.3719221834047025e+25,2.686779395648523e+28,1.7175964477015935e+27,7.526374881980885e+27,3.034335308830976e+31,2.234774700125093e+29,6.713303207761533e+23,4.6963030721234034e+21,2.723216044293008e+26
5000,4.006167052818803e+33,9.760378079236792e+27,7.17835384149324e+29,1.057164129438123e+26,7.785826496588627e+24,4.963678855223821e+24,9.894910487249868e+27,6.367674756517168e+26,2.799761388427064e+27,1.1298684446740562e+31,8.319347030078796e+28,2.5194856917368025e+23,1.7307037178238576e+21,1.045416703324257e+26
8000,1.5852121869355573e+33,3.909972271263409e+27,2.814522434132662e+29,4.201211275163903e+25,3.10465329826385e+24,1.9443417133593947e+24,3.913747137834665e+27,2.527581745176317e+26,1.113333982980594e+27,4.49573040039088e+30,3.310073784034444e+28,1.0066113474249687e+23,6.847758924875159e+20,4.229396779763968e+25
10000,1.018845847828833e+33,2.523102888941821e+27,1.803519496154279e+29,2.703973354141469e+25,2.0003917347114845e+24,1.2455267983204767e+24,2.515097399815086e+27,1.6261798524848133e+26,7.16704594934309e+26,2.8947148975534583e+30,2.131272555378569e+28,6.489855321160803e+22,4.4010570647793e+20,2.737931192752515e+25
