DMmass,Operator 1,Operator 3,Operator 4,Operator 5,Operator 6,Operator 7,Operator 8,Operator 9,Operator 10,Operator 11,Operator 12,Operator 13,Operator 14,Operator 15
5,4.104368407957154e+35,7.590872401079383e+26,7.556559169548373e+34,2.454482973247212e+25,2.0424134966093838e+25,6.929103901455852e+29,7.094918926279283e+29,1.2316520637037543e+30,2.4633879409869837e+30,4.017908002060539e+30,5.191293763587367e+29,3.42186921946804e+24,3.2209677931758755e+24,2.321261345856481e+23
10,2.2520580776524143e+35,1.1625215877353758e+28,4.021997551523236e+34,8.629322623032093e+25,2.120192638431144e+25,3.462377182152431e+29,3.823372236236425e+29,8.214296988035538e+29,1.6437986491251158e+30,8.219064859079184e+30,1.014740723071911e+30,4.416340546226818e+24,2.0547094046721225e+24,1.1787993265478246e+25
20,1.0305218951262902e+35,7.899700166476456e+28,1.762671850548486e+34,3.125313614496251e+26,3.579923448928766e+25,1.3963665249992102e+29,1.979004772488853e+29,4.251375097283738e+29,8.553661929164638e+29,1.2846186074827449e+31,2.2478789488975708e+30,1.5018343041838744e+25,9.925638057665798e+23,2.1841629682182544e+26
35,4.661759713563354e+34,1.5289150472723384e+29,7.748672191030687e+33,5.7871939972355045e+26,6.48716561962416e+25,5.788450450711715e+28,1.2259461422130442e+29,2.0676826958356847e+29,4.243404345672565e+29,9.654670720410816e+30,2.515517686234867e+30,3.3553644863082334e+25,4.6213717119118574e+23,7.529843939092417e+26
50,2.6366084838919013e+34,1.5518939742598958e+29,4.304833601701789e+33,6.981169236693063e+26,8.32057329178539e+25,3.1290602745186626e+28,9.222986161732431e+28,1.2123449471537949e+29,2.559178122138651e+29,6.725058855831304e+30,2.0922237620025564e+30,4.463885884071837e+25,2.677329235469756e+23,9.590143805171312e+26
100,7.934360641021326e+33,9.660851708487212e+28,1.2448310120494738e+33,6.879637315155096e+26,9.484965154491036e+25,8.755544109574649e+27,5.167961899967918e+28,3.874571832250989e+28,9.086700215234508e+28,2.960244061592261e+30,1.0798552557296752e+30,5.043664003720528e+25,8.651336188018476e+22,7.403494561395336e+26
250,1.4523286482401177e+33,3.621970139121177e+28,2.164741484080304e+32,3.972842183090394e+26,6.543117271786961e+25,1.4941309024706212e+27,2.060167600590421e+28,7.965026734155589e+27,2.3618357157135314e+28,9.02405767539289e+29,3.391302860811391e+29,3.2720864488386464e+25,1.856943929765036e+22,3.5522069707323804e+26
300,1.0262498612339108e+33,2.8939696362855334e+28,1.5168108103701942e+32,3.376135087918434e+26,5.731831383755697e+25,1.044822453553809e+27,1.6672409042746344e+28,5.809309744139993e+27,1.814591116624177e+28,6.968416940051017e+29,2.608407926793997e+29,2.830840486454183e+25,1.3620090504637485e+22,3.024856147756964e+26
500,3.838219266602132e+32,1.462826983606901e+28,5.55833392945353e+31,1.949758075606961e+26,3.565444573006429e+25,3.813492988588908e+26,8.631874614699636e+27,2.3926827495917287e+27,8.543763278884814e+27,3.301408879365311e+29,1.1839102784276604e+29,1.707210718407623e+25,5.63104312998408e+21,1.8423290675143887e+26
800,1.5377015068709165e+32,7.323511602806274e+27,2.192911265071327e+31,1.0395090923182797e+26,1.999443526144244e+25,1.5011225413841974e+26,4.296293939928299e+27,1.041820267200394e+27,4.081960917706085e+27,1.6209564839466516e+29,5.3818390609911486e+28,9.377438676809544e+24,2.4304499168658824e+21,1.0893203958018174e+26
1000,9.935825319875357e+31,5.172247382937727e+27,1.408118567702292e+31,7.421537846795545e+25,1.4528538756645635e+25,9.631688653985928e+25,2.996148534766594e+27,6.958812483383568e+26,2.816841503226872e+27,1.1427456601370552e+29,3.6402572245724422e+28,6.766113419713899e+24,1.6140160869211927e+21,8.265437870268387e+25
3000,1.137146401381593e+31,7.890216225928872e+26,1.578436397051827e+30,1.1024968374033902e+25,2.256025581775353e+24,1.0774435089388683e+25,4.19338437240307e+26,8.773269294318046e+25,3.864346147024746e+26,1.7447814156266058e+28,4.757608013492682e+27,1.0328592068782956e+24,1.989492674253752e+20,1.5889627114628784e+25
5000,4.120899324399193e+30,3.048473394471272e+26,5.692357725380906e+29,4.190663969494846e+24,8.639704781630599e+23,3.884006903796351e+24,1.5773908024984573e+26,3.240894934063911e+25,1.4495221723096024e+26,6.738074431246177e+27,1.7727576492069312e+27,3.944527700472546e+23,7.31123291193873e+19,6.436543614361446e+24
8000,1.6157897866405424e+30,1.2385345995942153e+26,2.225768457304139e+29,1.6857216641389853e+24,3.4887694313874384e+23,1.5183333301624118e+24,6.310548450585939e+25,1.2840934322100977e+25,5.790415716327921e+25,2.73626388399756e+27,7.05939889496428e+26,1.5905948327378964e+23,2.8885249053758878e+19,2.681051749369535e+24
10000,1.0354009147215622e+30,8.029278665763196e+25,1.4249587810673512e+29,1.089206045422627e+24,2.2569606617800157e+23,9.71976974430083e+23,4.070353246547917e+25,8.256624484215714e+24,3.733068315971836e+25,1.773568350416409e+27,4.546794155617946e+26,1.0285382087369755e+23,1.85555960452003e+19,1.7518772873385327e+24
