DMmass,Operator 1,Operator 3,Operator 4,Operator 5,Operator 6,Operator 7,Operator 8,Operator 9,Operator 10,Operator 11,Operator 12,Operator 13,Operator 14,Operator 15,Operator 17,Operator 18,Operator 19,Operator 20
5,1.2369099570466122e+37,2.786798922049372e+28,2.0208314717353997e+35,1.827877486287205e+28,1.3908447874776332e+26,6.95334233209565e+29,6.223728639757088e+31,3.498901895229925e+30,2.6332403446843967e+30,3.2447363977960663e+33,1.8830055795258048e+31,1.2392375909807575e+25,9.256070537434944e+24,2.241157515955354e+25,4.569693715718013e+27,1.7524722553689485e+30,1.1794776996881914e+30,6.695877439937161e+25
10,1.2931882014647947e+37,4.141418141659983e+29,1.0794266919863966e+35,6.260956702816583e+28,6.815594933787216e+26,3.4917006443307406e+29,6.734109789113841e+31,2.787788039452966e+30,2.155443547276657e+30,1.0379045138359584e+34,8.412012364037289e+31,2.982087567282935e+25,7.381539801340692e+24,1.0863808311320572e+27,1.5652391757041452e+28,1.4154281922887937e+30,1.2567995943463135e+31,2.955464508696929e+26
20,1.076523951864584e+37,2.736262651386722e+30,4.763098739527239e+34,1.4231070682636116e+29,2.384785563589892e+27,1.4228401098188508e+29,6.004828173507665e+31,2.1237547455314865e+30,1.816911140628489e+30,2.072326028575164e+34,2.1248329665356736e+32,8.433593758057195e+25,5.902824969895743e+24,1.9457238110081628e+28,3.557767670659029e+28,1.136575733259035e+30,6.301999201453302e+31,8.855355316394012e+26
35,7.578655454878462e+36,5.190280432396167e+30,2.1144862400994854e+34,1.754824645451767e+29,4.111288470396596e+27,5.988192155911018e+28,4.523633418584221e+31,1.595538040162662e+30,1.5641811125114208e+30,2.2096446931500823e+34,2.4329298229878688e+32,1.350304090607186e+26,4.758348468310896e+24,6.415265490270618e+28,4.387061613629417e+28,9.202782142111417e+29,1.0095449689644017e+32,1.3214577950997028e+27
50,5.601943855797733e+36,5.193566653586979e+30,1.1858475218429728e+34,1.6560738194508614e+29,4.7717826805925166e+27,3.2830410055804902e+28,3.4612160786688186e+31,1.2695976690636765e+30,1.3651539279603793e+30,1.927581875452377e+34,2.056820574571437e+32,1.5226415893283718e+26,3.949588506942769e+24,7.746119450749739e+28,4.140184548627153e+28,7.724507265860445e+29,1.0001590364907691e+32,1.4036866157314489e+27
100,2.7333773559882343e+36,3.297488229874508e+30,3.527981506112754e+33,1.125627624535127e+29,4.535027972354338e+27,9.551624191930632e+27,1.7597907759978454e+31,7.338701764926735e+29,9.224658955807276e+29,1.2052766084408468e+34,1.1227367372011204e+32,1.407807707537669e+26,2.3901309051847049e+24,5.6962280343239e+28,2.8140690613378166e+28,4.909561759834088e+29,7.567601322491749e+31,1.156428274903075e+27
250,8.39110697658034e+35,1.323944000055697e+30,6.511264228828245e+32,4.592302126042592e+28,2.568722386005972e+27,1.7420197316727984e+27,5.534262604652423e+30,2.842364071128878e+29,4.135437255935704e+29,4.764951660738287e+33,3.851650493714868e+31,7.92140104021363e+25,8.943218594775654e+23,2.763125999364133e+28,1.148075531510648e+28,2.0890701030941104e+29,3.5535688789748096e+31,5.7734538329860286e+26
300,6.429640220391423e+35,1.0641088563501806e+30,4.623541524328354e+32,3.664784914729923e+28,2.1548203738562551e+27,1.2336783058729504e+27,4.249069787904015e+30,2.263849431966655e+29,3.365428451471208e+29,3.803018859166517e+33,3.0105718245140288e+31,6.653360943765599e+25,7.008681820752372e+23,2.2929508002627406e+28,9.161962286824808e+27,1.6877718418153882e+29,2.917175292788291e+31,4.756893286632024e+26
500,2.883565266186282e+35,5.393666274154151e+29,1.7539638676323928e+32,1.7950395354210945e+28,1.1721986961710774e+27,4.640740136731967e+26,1.9094084914247575e+30,1.1037256272327034e+29,1.7180812231500677e+29,1.8736595490772543e+33,1.4219818693485956e+31,3.6507113402079662e+25,3.2628003876369044e+23,1.2616364511880086e+28,4.487598838552736e+27,8.486251478581988e+28,1.5439000880071165e+31,2.4918678441345696e+26
800,1.2905898065589516e+35,2.652529134872312e+29,7.093163693290991e+31,8.466820325280651e+27,5.8513505307434e+26,1.863177426400136e+26,8.538152592925759e+29,5.176222779743865e+28,8.269674081837972e+28,8.905442794267787e+32,6.629886512316724e+30,1.843839516606912e+25,1.4792675381644148e+23,6.634279483280202e+27,2.1167050813201628e+27,4.050613722215288e+28,7.741238948427305e+30,1.2182937317945623e+26
